global_id: 0; arrival_time: 1725802143.4131646; e2e_latency: 2.1711816787719727; queueing_latency: 0.003472566604614258; serving_latency: 2.1677091121673584; 
global_id: 3; arrival_time: 1725802148.1220012; e2e_latency: 0.930243730545044; queueing_latency: 0.054650306701660156; serving_latency: 0.8755934238433838; 
global_id: 4; arrival_time: 1725802149.3048468; e2e_latency: 1.0333764553070068; queueing_latency: 0.04761934280395508; serving_latency: 0.9857571125030518; 
global_id: 2; arrival_time: 1725802147.953549; e2e_latency: 3.251713275909424; queueing_latency: 0.033600807189941406; serving_latency: 3.2181124687194824; 
global_id: 1; arrival_time: 1725802147.7304614; e2e_latency: 6.69394063949585; queueing_latency: 0.0016741752624511719; serving_latency: 6.692266464233398; 
global_id: 5; arrival_time: 1725802149.7242146; e2e_latency: 5.128393650054932; queueing_latency: 0.003955841064453125; serving_latency: 5.1244378089904785; 
global_id: 16; arrival_time: 1725802154.842795; e2e_latency: 0.7913334369659424; queueing_latency: 0.010179996490478516; serving_latency: 0.7811534404754639; 
global_id: 7; arrival_time: 1725802151.663444; e2e_latency: 5.123953342437744; queueing_latency: 0.018057584762573242; serving_latency: 5.105895757675171; 
global_id: 14; arrival_time: 1725802153.958939; e2e_latency: 5.440441370010376; queueing_latency: 0.034029483795166016; serving_latency: 5.40641188621521; 
global_id: 17; arrival_time: 1725802155.24803; e2e_latency: 4.309430360794067; queueing_latency: 0.021538496017456055; serving_latency: 4.287891864776611; 
global_id: 6; arrival_time: 1725802151.1582139; e2e_latency: 8.609979391098022; queueing_latency: 0.047402381896972656; serving_latency: 8.56257700920105; 
global_id: 22; arrival_time: 1725802157.5094528; e2e_latency: 2.9679033756256104; queueing_latency: 0.012145757675170898; serving_latency: 2.9557576179504395; 
global_id: 9; arrival_time: 1725802151.8750854; e2e_latency: 8.699352502822876; queueing_latency: 0.02823352813720703; serving_latency: 8.671118974685669; 
global_id: 15; arrival_time: 1725802154.5699985; e2e_latency: 6.100868225097656; queueing_latency: 0.011764764785766602; serving_latency: 6.08910346031189; 
global_id: 29; arrival_time: 1725802163.3253722; e2e_latency: 0.9414253234863281; queueing_latency: 0.025621891021728516; serving_latency: 0.9158034324645996; 
global_id: 20; arrival_time: 1725802156.461557; e2e_latency: 8.193777084350586; queueing_latency: 0.031732797622680664; serving_latency: 8.162044286727905; 
global_id: 18; arrival_time: 1725802156.2984176; e2e_latency: 8.859480381011963; queueing_latency: 0.011112213134765625; serving_latency: 8.848368167877197; 
global_id: 21; arrival_time: 1725802157.4714882; e2e_latency: 8.263079166412354; queueing_latency: 0.0501103401184082; serving_latency: 8.212968826293945; 
global_id: 27; arrival_time: 1725802161.875109; e2e_latency: 4.779920816421509; queueing_latency: 0.03507232666015625; serving_latency: 4.7448484897613525; 
global_id: 35; arrival_time: 1725802164.7880661; e2e_latency: 4.85639500617981; queueing_latency: 0.010364770889282227; serving_latency: 4.846030235290527; 
global_id: 45; arrival_time: 1725802168.7362034; e2e_latency: 1.4858298301696777; queueing_latency: 0.0355381965637207; serving_latency: 1.450291633605957; 
global_id: 26; arrival_time: 1725802161.572505; e2e_latency: 11.801374673843384; queueing_latency: 0.031193017959594727; serving_latency: 11.770181655883789; 
global_id: 57; arrival_time: 1725802172.7529943; e2e_latency: 1.0626227855682373; queueing_latency: 0.019467592239379883; serving_latency: 1.0431551933288574; 
global_id: 47; arrival_time: 1725802169.666721; e2e_latency: 4.405590772628784; queueing_latency: 0.03404426574707031; serving_latency: 4.371546506881714; 
global_id: 40; arrival_time: 1725802168.180087; e2e_latency: 6.19629430770874; queueing_latency: 0.01005411148071289; serving_latency: 6.186240196228027; 
global_id: 56; arrival_time: 1725802172.1768804; e2e_latency: 3.931363582611084; queueing_latency: 0.015970468521118164; serving_latency: 3.915393114089966; 
global_id: 33; arrival_time: 1725802164.3539166; e2e_latency: 11.808687925338745; queueing_latency: 0.009163141250610352; serving_latency: 11.799524784088135; 
global_id: 48; arrival_time: 1725802169.8192391; e2e_latency: 7.939919948577881; queueing_latency: 0.03874564170837402; serving_latency: 7.901174306869507; 
global_id: 36; arrival_time: 1725802166.124831; e2e_latency: 12.61837387084961; queueing_latency: 0.03863859176635742; serving_latency: 12.579735279083252; 
global_id: 32; arrival_time: 1725802164.0704854; e2e_latency: 15.060753345489502; queueing_latency: 0.020241260528564453; serving_latency: 15.040512084960938; 
global_id: 42; arrival_time: 1725802168.4939468; e2e_latency: 10.692557096481323; queueing_latency: 0.011165857315063477; serving_latency: 10.68139123916626; 
global_id: 37; arrival_time: 1725802166.406177; e2e_latency: 13.06236720085144; queueing_latency: 0.021483659744262695; serving_latency: 13.040883541107178; 
global_id: 39; arrival_time: 1725802167.5587797; e2e_latency: 13.036882638931274; queueing_latency: 0.0024688243865966797; serving_latency: 13.034413814544678; 
global_id: 59; arrival_time: 1725802173.5933475; e2e_latency: 7.166342258453369; queueing_latency: 0.048860788345336914; serving_latency: 7.117481470108032; 
global_id: 53; arrival_time: 1725802171.765888; e2e_latency: 9.5115225315094; queueing_latency: 0.04099321365356445; serving_latency: 9.470529317855835; 
global_id: 43; arrival_time: 1725802168.6350274; e2e_latency: 13.431791067123413; queueing_latency: 0.0021941661834716797; serving_latency: 13.429596900939941; 
global_id: 63; arrival_time: 1725802175.3292372; e2e_latency: 6.7376549243927; queueing_latency: 0.10627079010009766; serving_latency: 6.6313841342926025; 
global_id: 67; arrival_time: 1725802176.9036696; e2e_latency: 7.727548122406006; queueing_latency: 0.04296302795410156; serving_latency: 7.684585094451904; 
global_id: 52; arrival_time: 1725802171.502814; e2e_latency: 13.298444747924805; queueing_latency: 0.017037630081176758; serving_latency: 13.281407117843628; 
global_id: 62; arrival_time: 1725802175.1719527; e2e_latency: 10.418445110321045; queueing_latency: 0.13761091232299805; serving_latency: 10.280834197998047; 
global_id: 49; arrival_time: 1725802169.873473; e2e_latency: 30.19444990158081; queueing_latency: 0.10649609565734863; serving_latency: 30.087953805923462; 
global_id: 80; arrival_time: 1725802181.5665228; e2e_latency: 18.501498699188232; queueing_latency: 0.04792451858520508; serving_latency: 18.453574180603027; 
global_id: 107; arrival_time: 1725802187.2028487; e2e_latency: 15.74911642074585; queueing_latency: 0.2169334888458252; serving_latency: 15.532182931900024; 
global_id: 50; arrival_time: 1725802170.7420893; e2e_latency: 32.3023202419281; queueing_latency: 0.015655517578125; serving_latency: 32.286664724349976; 
global_id: 51; arrival_time: 1725802170.9643424; e2e_latency: 32.36167502403259; queueing_latency: 0.03944087028503418; serving_latency: 32.32223415374756; 
global_id: 78; arrival_time: 1725802180.5378218; e2e_latency: 25.79349946975708; queueing_latency: 0.05866217613220215; serving_latency: 25.734837293624878; 
global_id: 159; arrival_time: 1725802195.0330887; e2e_latency: 12.97813892364502; queueing_latency: 2.761802911758423; serving_latency: 10.216336011886597; 
global_id: 60; arrival_time: 1725802174.681851; e2e_latency: 33.99898624420166; queueing_latency: 0.007612943649291992; serving_latency: 33.99137330055237; 
global_id: 72; arrival_time: 1725802177.345084; e2e_latency: 33.58270072937012; queueing_latency: 0.07590937614440918; serving_latency: 33.50679135322571; 
global_id: 193; arrival_time: 1725802203.8389065; e2e_latency: 8.169123411178589; queueing_latency: 0.0882411003112793; serving_latency: 8.08088231086731; 
global_id: 139; arrival_time: 1725802192.9737759; e2e_latency: 20.596291303634644; queueing_latency: 2.4114761352539062; serving_latency: 18.184815168380737; 
global_id: 105; arrival_time: 1725802187.0015533; e2e_latency: 26.856316804885864; queueing_latency: 0.09658098220825195; serving_latency: 26.759735822677612; 
global_id: 117; arrival_time: 1725802188.7602623; e2e_latency: 25.19732093811035; queueing_latency: 3.8717894554138184; serving_latency: 21.325531482696533; 
global_id: 96; arrival_time: 1725802185.9429595; e2e_latency: 28.44774603843689; queueing_latency: 0.05816197395324707; serving_latency: 28.389584064483643; 
global_id: 182; arrival_time: 1725802200.864497; e2e_latency: 13.5265953540802; queueing_latency: 0.08620047569274902; serving_latency: 13.440394878387451; 
global_id: 185; arrival_time: 1725802200.9238117; e2e_latency: 14.165046691894531; queueing_latency: 0.3792881965637207; serving_latency: 13.78575849533081; 
global_id: 66; arrival_time: 1725802176.825651; e2e_latency: 39.27452087402344; queueing_latency: 0.032476186752319336; serving_latency: 39.24204468727112; 
global_id: 188; arrival_time: 1725802201.677547; e2e_latency: 14.423084259033203; queueing_latency: 0.21079111099243164; serving_latency: 14.212293148040771; 
global_id: 212; arrival_time: 1725802206.5247233; e2e_latency: 9.7723228931427; queueing_latency: 0.018157243728637695; serving_latency: 9.754165649414062; 
global_id: 194; arrival_time: 1725802204.0608895; e2e_latency: 13.646468162536621; queueing_latency: 0.2158677577972412; serving_latency: 13.43060040473938; 
global_id: 190; arrival_time: 1725802203.4062083; e2e_latency: 15.770733118057251; queueing_latency: 0.02083277702331543; serving_latency: 15.749900341033936; 
global_id: 68; arrival_time: 1725802176.9388018; e2e_latency: 42.92688345909119; queueing_latency: 0.00783085823059082; serving_latency: 42.919052600860596; 
global_id: 109; arrival_time: 1725802187.3353066; e2e_latency: 33.2042281627655; queueing_latency: 0.3614797592163086; serving_latency: 32.842748403549194; 
global_id: 172; arrival_time: 1725802197.4342186; e2e_latency: 24.302427768707275; queueing_latency: 1.3745253086090088; serving_latency: 22.927902460098267; 
global_id: 171; arrival_time: 1725802197.4040675; e2e_latency: 25.046529293060303; queueing_latency: 1.1269500255584717; serving_latency: 23.91957926750183; 
global_id: 114; arrival_time: 1725802188.7510216; e2e_latency: 35.097782135009766; queueing_latency: 3.449793815612793; serving_latency: 31.647988319396973; 
global_id: 167; arrival_time: 1725802196.5558085; e2e_latency: 28.14705991744995; queueing_latency: 1.6049745082855225; serving_latency: 26.54208540916443; 
global_id: 46; arrival_time: 1725802169.3295958; e2e_latency: 55.758594036102295; queueing_latency: 0.02678513526916504; serving_latency: 55.73180890083313; 
global_id: 149; arrival_time: 1725802194.0438428; e2e_latency: 31.044678688049316; queueing_latency: 2.8524789810180664; serving_latency: 28.19219970703125; 
global_id: 207; arrival_time: 1725802205.5865455; e2e_latency: 20.492193460464478; queueing_latency: 0.3764491081237793; serving_latency: 20.1157443523407; 
global_id: 150; arrival_time: 1725802194.0668056; e2e_latency: 33.84466218948364; queueing_latency: 2.8295161724090576; serving_latency: 31.015146017074585; 
global_id: 104; arrival_time: 1725802186.6054971; e2e_latency: 41.6926109790802; queueing_latency: 0.49263715744018555; serving_latency: 41.199973821640015; 
global_id: 128; arrival_time: 1725802190.6213653; e2e_latency: 38.36122798919678; queueing_latency: 3.5423498153686523; serving_latency: 34.818878173828125; 
global_id: 135; arrival_time: 1725802191.708889; e2e_latency: 37.27374601364136; queueing_latency: 3.676362991333008; serving_latency: 33.59738302230835; 
global_id: 138; arrival_time: 1725802192.64015; e2e_latency: 36.34249210357666; queueing_latency: 2.7451019287109375; serving_latency: 33.59739017486572; 
global_id: 169; arrival_time: 1725802196.9760413; e2e_latency: 32.00670146942139; queueing_latency: 1.554976224899292; serving_latency: 30.451725244522095; 
global_id: 103; arrival_time: 1725802186.411513; e2e_latency: 43.688374280929565; queueing_latency: 0.6866211891174316; serving_latency: 43.001753091812134; 
global_id: 218; arrival_time: 1725802208.347898; e2e_latency: 22.813864946365356; queueing_latency: 6.0444440841674805; serving_latency: 16.769420862197876; 
global_id: 195; arrival_time: 1725802204.1906366; e2e_latency: 27.879612922668457; queueing_latency: 0.08612060546875; serving_latency: 27.793492317199707; 
global_id: 61; arrival_time: 1725802175.0322833; e2e_latency: 59.375288009643555; queueing_latency: 0.043578386306762695; serving_latency: 59.33170962333679; 
global_id: 217; arrival_time: 1725802208.3231196; e2e_latency: 26.52041220664978; queueing_latency: 5.636078834533691; serving_latency: 20.88433337211609; 
global_id: 73; arrival_time: 1725802178.158687; e2e_latency: 58.131741762161255; queueing_latency: 0.006187915802001953; serving_latency: 58.12555384635925; 
global_id: 65; arrival_time: 1725802176.6479034; e2e_latency: 60.65150856971741; queueing_latency: 0.0041790008544921875; serving_latency: 60.647329568862915; 
global_id: 70; arrival_time: 1725802177.1608171; e2e_latency: 61.896018266677856; queueing_latency: 0.01938652992248535; serving_latency: 61.87663173675537; 
global_id: 85; arrival_time: 1725802182.6323354; e2e_latency: 59.61573362350464; queueing_latency: 0.007544279098510742; serving_latency: 59.60818934440613; 
global_id: 75; arrival_time: 1725802179.5508053; e2e_latency: 63.86227107048035; queueing_latency: 0.032575368881225586; serving_latency: 63.82969570159912; 
global_id: 79; arrival_time: 1725802180.887131; e2e_latency: 63.03760266304016; queueing_latency: 0.03894519805908203; serving_latency: 62.99865746498108; 
global_id: 91; arrival_time: 1725802183.8920796; e2e_latency: 60.909287214279175; queueing_latency: 0.03787851333618164; serving_latency: 60.87140870094299; 
global_id: 131; arrival_time: 1725802191.3384778; e2e_latency: 56.23739290237427; queueing_latency: 3.5883941650390625; serving_latency: 52.648998737335205; 
global_id: 98; arrival_time: 1725802185.9755673; e2e_latency: 62.2743661403656; queueing_latency: 0.33291006088256836; serving_latency: 61.94145607948303; 
global_id: 180; arrival_time: 1725802200.6926866; e2e_latency: 47.55753827095032; queueing_latency: 0.2580108642578125; serving_latency: 47.299527406692505; 
global_id: 86; arrival_time: 1725802182.7362795; e2e_latency: 66.28030467033386; queueing_latency: 0.1471874713897705; serving_latency: 66.13311719894409; 
global_id: 156; arrival_time: 1725802194.5361521; e2e_latency: 54.85177445411682; queueing_latency: 2.6502840518951416; serving_latency: 52.20149040222168; 
global_id: 140; arrival_time: 1725802192.999894; e2e_latency: 56.91812014579773; queueing_latency: 2.714071035385132; serving_latency: 54.2040491104126; 
global_id: 179; arrival_time: 1725802200.6297264; e2e_latency: 49.2884316444397; queueing_latency: 0.08373212814331055; serving_latency: 49.20469951629639; 
global_id: 120; arrival_time: 1725802188.942589; e2e_latency: 61.70397138595581; queueing_latency: 4.9913482666015625; serving_latency: 56.71262311935425; 
global_id: 224; arrival_time: 1725802208.7607207; e2e_latency: 41.886112451553345; queueing_latency: 15.089673280715942; serving_latency: 26.796439170837402; 
global_id: 183; arrival_time: 1725802200.9040675; e2e_latency: 50.3903067111969; queueing_latency: 0.3990323543548584; serving_latency: 49.99127435684204; 
global_id: 232; arrival_time: 1725802210.0731683; e2e_latency: 41.547240018844604; queueing_latency: 27.228145837783813; serving_latency: 14.319094181060791; 
global_id: 125; arrival_time: 1725802189.8183243; e2e_latency: 62.12949585914612; queueing_latency: 4.345390796661377; serving_latency: 57.78410506248474; 
global_id: 115; arrival_time: 1725802188.7577627; e2e_latency: 63.49977254867554; queueing_latency: 3.874289035797119; serving_latency: 59.62548351287842; 
global_id: 118; arrival_time: 1725802188.762844; e2e_latency: 63.49469876289368; queueing_latency: 4.341535329818726; serving_latency: 59.15316343307495; 
global_id: 147; arrival_time: 1725802193.6404328; e2e_latency: 58.617186307907104; queueing_latency: 3.0451161861419678; serving_latency: 55.57207012176514; 
global_id: 97; arrival_time: 1725802185.9571855; e2e_latency: 67.31730628013611; queueing_latency: 0.04393601417541504; serving_latency: 67.2733702659607; 
